response,rt,participant_id,ab_nominal
1,4.228,710,0.05
1,1.76,710,0.05
1,1.7712,711,10.0
1,1.4385,711,10.0
1,1.2708,711,10.0
1,1.0353,711,10.0
1,1.3113,711,10.0
0,1.5406,711,10.0
0,2.6034,711,10.0
1,2.4288,711,10.0
1,1.6555,711,0.05
1,1.4172,711,0.05
1,1.0756,711,0.05
1,3.283,711,0.05
0,1.6009,711,0.05
1,1.0339,711,0.05
1,1.1505,711,0.05
0,2.7973,711,0.05
1,3.7724,711,0.05
1,1.3085,711,0.05
1,0.9882,711,0.05
1,1.2261,711,0.05
1,3.667,711,0.05
0,4.6781,711,0.05
1,1.1901,711,0.05
1,0.9771,711,0.05
0,2.2753,711,10.0
1,0.9016,711,10.0
1,2.4537,711,10.0
1,1.7738,711,10.0
0,3.603,711,10.0
0,1.2634,711,10.0
1,1.8637,711,10.0
1,1.2868,711,10.0
0,1.274,711,0.05
1,1.7917,711,0.05
0,1.5074,711,0.05
1,3.0312,711,0.05
1,1.1502,711,0.05
1,3.2991,711,0.05
1,1.2117,711,0.05
1,1.3106,711,0.05
1,2.155,711,10.0
0,2.4218,711,10.0
1,1.6482,711,10.0
1,1.3204,711,10.0
1,1.1747,711,10.0
1,1.7195,711,10.0
1,3.3033,711,10.0
1,2.9195,711,10.0
1,1.0929,711,10.0
1,1.1371,711,10.0
1,1.9459,711,10.0
1,2.6797,711,10.0
1,2.575,711,10.0
1,2.1407,711,10.0
1,3.2986,711,10.0
1,1.5675,711,10.0
1,1.7851,711,10.0
1,2.1855,711,0.05
1,2.2168,711,0.05
1,2.2678,711,0.05
1,2.9322,711,0.05
1,3.4723,711,0.05
1,3.1845,711,0.05
1,1.7809,711,0.05
1,1.8455,712,10.0
1,1.8323,712,10.0
1,2.0225,712,10.0
1,2.8065,712,10.0
1,1.1824,712,10.0
1,3.1446,712,10.0
1,1.4733,712,0.05
1,2.2108,712,0.05
1,1.3816,712,0.05
1,1.2657,712,0.05
1,1.3603,712,0.05
1,1.3238,712,0.05
1,1.3826,712,0.05
1,2.0739,712,0.05
1,3.4343,712,10.0
1,1.3051,712,10.0
0,2.279,712,10.0
1,1.1894,712,10.0
1,1.8285,712,10.0
1,1.3947,712,10.0
1,1.2427,712,10.0
1,3.7228,712,10.0
1,2.809,712,0.05
0,1.8012,712,0.05
1,1.0737,712,0.05
0,1.9038,712,0.05
1,2.2228,712,0.05
1,1.7612,712,0.05
0,2.462,712,0.05
0,2.4674,712,0.05
1,1.4861,712,0.05
1,2.6605,712,0.05
1,1.7895,712,0.05
0,2.4412,712,0.05
1,1.3076,712,0.05
1,1.2878,712,0.05
1,3.5462,712,0.05
1,1.6416,712,0.05
0,1.6028,712,0.05
1,1.9076,712,0.05
0,1.341,712,0.05
1,1.0229,712,0.05
1,1.6922,712,0.05
1,1.3922,712,10.0
1,1.3218,712,10.0
1,2.6415,712,10.0
0,1.3294,712,10.0
1,1.5504,712,10.0
1,3.1304,712,10.0
1,1.3949,712,10.0
1,2.1864,712,10.0
1,1.4916,712,10.0
0,3.5926,712,10.0
